Feature,value_rfe
tqwt_TKEO_std_dec_10,601
tqwt_maxValue_dec_21,602
tqwt_maxValue_dec_14,603
det_LT_entropy_shannon_2_coef,604
tqwt_maxValue_dec_9,605
det_LT_TKEO_mean_8_coef,606
tqwt_maxValue_dec_8,607
Ed2_5_coef,608
Ed_4_coef,609
tqwt_entropy_log_dec_19,610
tqwt_TKEO_std_dec_22,611
tqwt_TKEO_mean_dec_10,612
det_LT_entropy_shannon_3_coef,613
app_TKEO_std_9_coef,614
Ea2,615
det_LT_TKEO_std_5_coef,616
det_LT_TKEO_std_2_coef,617
tqwt_TKEO_std_dec_35,618
std_12th_delta_delta,619
tqwt_kurtosisValue_dec_9,620
tqwt_stdValue_dec_3,621
det_LT_TKEO_std_3_coef,622
det_LT_entropy_log_9_coef,623
Ed_2_coef,624
tqwt_maxValue_dec_16,625
app_LT_TKEO_std_4_coef,626
tqwt_TKEO_mean_dec_29,627
app_entropy_log_9_coef,628
app_entropy_log_8_coef,629
app_LT_entropy_log_1_coef,630
det_LT_entropy_log_3_coef,631
tqwt_stdValue_dec_1,632
tqwt_energy_dec_32,633
tqwt_TKEO_std_dec_8,634
app_det_TKEO_mean_6_coef,635
tqwt_minValue_dec_7,636
det_entropy_shannon_1_coef,637
tqwt_stdValue_dec_28,638
tqwt_minValue_dec_18,639
app_LT_entropy_shannon_5_coef,640
det_entropy_shannon_4_coef,641
tqwt_minValue_dec_10,642
tqwt_maxValue_dec_30,643
tqwt_skewnessValue_dec_5,644
tqwt_maxValue_dec_25,645
det_entropy_shannon_8_coef,646
tqwt_stdValue_dec_32,647
det_LT_TKEO_mean_3_coef,648
tqwt_minValue_dec_1,649
app_LT_entropy_shannon_4_coef,650
app_LT_entropy_shannon_2_coef,651
app_LT_entropy_log_2_coef,652
tqwt_maxValue_dec_13,653
app_LT_entropy_log_4_coef,654
app_LT_entropy_log_5_coef,655
tqwt_TKEO_std_dec_36,656
tqwt_TKEO_mean_dec_19,657
tqwt_TKEO_std_dec_29,658
det_entropy_log_4_coef,659
det_entropy_log_5_coef,660
tqwt_minValue_dec_23,661
app_LT_entropy_log_10_coef,662
tqwt_minValue_dec_24,663
app_entropy_log_7_coef,664
det_LT_TKEO_mean_7_coef,665
tqwt_stdValue_dec_27,666
app_LT_TKEO_mean_9_coef,667
tqwt_TKEO_mean_dec_1,668
app_LT_TKEO_mean_5_coef,669
app_det_TKEO_mean_4_coef,670
tqwt_entropy_shannon_dec_15,671
tqwt_minValue_dec_32,672
det_TKEO_mean_3_coef,673
tqwt_minValue_dec_9,674
tqwt_stdValue_dec_14,675
tqwt_medianValue_dec_6,676
det_TKEO_mean_5_coef,677
tqwt_stdValue_dec_2,678
tqwt_minValue_dec_26,679
det_TKEO_mean_7_coef,680
tqwt_minValue_dec_27,681
det_TKEO_mean_8_coef,682
tqwt_minValue_dec_28,683
tqwt_energy_dec_2,684
tqwt_maxValue_dec_5,685
app_LT_entropy_shannon_3_coef,686
Ed_5_coef,687
det_entropy_shannon_3_coef,688
det_TKEO_mean_9_coef,689
tqwt_minValue_dec_15,690
det_TKEO_mean_10_coef,691
app_TKEO_std_10_coef,692
tqwt_medianValue_dec_25,693
tqwt_TKEO_mean_dec_34,694
det_TKEO_std_2_coef,695
tqwt_stdValue_dec_9,696
det_TKEO_std_3_coef,697
tqwt_stdValue_dec_8,698
det_TKEO_std_4_coef,699
tqwt_stdValue_dec_5,700
tqwt_stdValue_dec_7,701
tqwt_stdValue_dec_19,702
det_LT_TKEO_std_8_coef,703
tqwt_stdValue_dec_30,704
det_TKEO_std_7_coef,705
tqwt_stdValue_dec_35,706
tqwt_stdValue_dec_4,707
tqwt_entropy_shannon_dec_36,708
tqwt_stdValue_dec_10,709
det_entropy_log_9_coef,710
det_entropy_log_10_coef,711
det_LT_TKEO_mean_10_coef,712
Ed_7_coef,713
Ed_8_coef,714
tqwt_minValue_dec_16,715
app_LT_TKEO_mean_10_coef,716
det_TKEO_std_9_coef,717
app_LT_TKEO_std_2_coef,718
det_TKEO_std_10_coef,719
app_LT_TKEO_std_6_coef,720
tqwt_entropy_log_dec_3,721
tqwt_entropy_log_dec_4,722
app_entropy_shannon_2_coef,723
tqwt_entropy_log_dec_5,724
app_entropy_shannon_3_coef,725
tqwt_entropy_log_dec_6,726
app_entropy_shannon_4_coef,727
tqwt_stdValue_dec_6,728
app_entropy_shannon_5_coef,729
tqwt_entropy_log_dec_8,730
tqwt_TKEO_std_dec_16,731
det_entropy_shannon_7_coef,732
app_entropy_shannon_6_coef,733
app_LT_TKEO_std_7_coef,734
tqwt_entropy_log_dec_10,735
tqwt_TKEO_mean_dec_7,736
